BrandAAIAID|PartNumber|AssetType|OrientationView|Background|Representation|FileName|FileType|FileSize|Resolution|ColorMode|AssetHeight|AssetWidth|UOM|Details
BKDK|17333|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_fe.jpg|JPG|34|72|RGB|250|251|PX|
BKDK|17333|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_ff.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17333|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17333_3008x1990_fg.jpg|JPG|36|72|RGB|250|251|PX|
BKDK|17333|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17333_INS.pdf|PDF|506||||||
BKDK|17333|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17333_3008x1990_a.jpg|JPG|114|300|RGB|1500|1500|PX|
BKDK|17333|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17333_3008x1990_ta.jpg|JPG|268|300|RGB|1500|1500|PX|
BKDK|17334|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17334_3008x1990_a.jpg|JPG|81|300|RGB|1500|1500|PX|
BKDK|17334|P06|LIF|NUL|R|https://www.catalograck.com/ImgVDHR/CUR/17334_3008x1990_ma.jpg|JPG|438|300|RGB|1500|1500|PX|
BKDK|17336|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17336_3008x1990_a.jpg|JPG|81|300|RGB|1500|1500|PX|
BKDK|17336|P06|LIF|NUL|R|https://www.catalograck.com/ImgVDHR/CUR/17336_3008x1990_ma.jpg|JPG|438|300|RGB|1500|1500|PX|
