BrandAAIAID|PartNumber|AssetType|OrientationView|Background|Representation|FileName|FileType|FileSize|Resolution|ColorMode|AssetHeight|AssetWidth|UOM|Details
BKDK|17102|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17102_3008x1990_fb.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17102|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17102_3008x1990_a.jpg|JPG|321|300|RGB|1500|1500|PX|
BKDK|17103|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17103_3008x1990_ca.jpg|JPG|16|72|RGB|250|251|PX|
BKDK|17103|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17103_3008x1990_fa.jpg|JPG|20|72|RGB|250|251|PX|
BKDK|17103|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17103_3008x1990_fb.jpg|JPG|15|72|RGB|250|251|PX|
BKDK|17103|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17103_3008x1990_a.jpg|JPG|264|300|RGB|1500|1500|PX|
BKDK|17109|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17109_3008x1990_fa.jpg|JPG|21|72|RGB|250|251|PX|
BKDK|17109|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17109_3008x1990_fb.jpg|JPG|18|72|RGB|250|251|PX|
BKDK|17109|INS|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17109_INS.pdf|PDF|345||||||
BKDK|17109|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17109_3008x1990_a.jpg|JPG|105|300|RGB|1500|1500|PX|
BKDK|17111|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17111_3008x1990_ca.jpg|JPG|14|72|RGB|250|251|PX|
BKDK|17111|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17111_3008x1990_fa.jpg|JPG|21|72|RGB|250|251|PX|
BKDK|17111|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17111_3008x1990_fb.jpg|JPG|33|72|RGB|250|251|PX|
BKDK|17111|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17111_3008x1990_fc.jpg|JPG|31|72|RGB|250|251|PX|
BKDK|17111|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17111_3008x1990_a.jpg|JPG|127|300|RGB|1500|1500|PX|
BKDK|17112|DRW|NUL|NUL||https://www.catalograck.com/ImgVD/CUR/17112_3008x1990_ca.jpg|JPG|11|72|RGB|250|251|PX|
BKDK|17112|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17112_3008x1990_fa.jpg|JPG|17|72|RGB|250|251|PX|
BKDK|17112|FAB|FRO|NUL||https://www.catalograck.com/ImgVD/CUR/17112_3008x1990_fb.jpg|JPG|32|72|RGB|250|251|PX|
BKDK|17112|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17112_3008x1990_a.jpg|JPG|80|300|RGB|1500|1500|PX|
BKDK|17114|P04|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17114_3008x1990_a.jpg|JPG|105|300|RGB|1500|1500|PX|
BKDK|17114|P07|ANG|WHI|A|https://www.catalograck.com/ImgVDHR/CUR/17114_3008x1990_ta.jpg|JPG|259|300|RGB|1500|1500|PX|
