BrandAAIAID|PartNumber|DescriptionCode|Description|Sequence
BKDK|13269|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13269|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13269|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13269|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13269|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13269|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13269|FAB|Made in USA [may include imported hardware]|9
BKDK|132698|FAB|Replacement Triple Axle AP Kit|1
BKDK|132698|FAB|Standard Bolts|2
BKDK|132698|FAB|Kit Includes Shackle Links/Mounting Hardware/Equalizers|3
BKDK|132698|FAB|Long Equalizers|4
BKDK|13270|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13270|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13270|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13270|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13270|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13270|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13270|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13270|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13270|FAB|Made in USA [may include imported hardware]|9
BKDK|13271|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13271|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13271|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13271|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13271|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13271|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13271|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13271|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13271|FAB|Made in USA [may include imported hardware]|9
BKDK|13272|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13272|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13272|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13272|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13272|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13272|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13272|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13272|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13272|FAB|Made in USA [may include imported hardware]|9
BKDK|13273|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13273|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13273|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13273|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13273|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13273|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13273|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13273|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13273|FAB|Made in USA [may include imported hardware]|9
BKDK|13275|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13275|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13275|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13275|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13275|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13275|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13275|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13275|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13275|FAB|Made in USA [may include imported hardware]|9
BKDK|13276|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13276|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13276|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13276|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13276|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13276|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13276|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13276|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13276|FAB|Made in USA [may include imported hardware]|9
BKDK|13277|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13277|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13277|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13277|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13277|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13277|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13277|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13277|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13277|FAB|Made in USA [may include imported hardware]|9
BKDK|13280|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13280|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13280|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13280|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13280|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13280|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13280|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13280|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13280|FAB|Made in USA [may include imported hardware]|9
BKDK|13281|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13281|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13281|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13281|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13281|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13281|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13281|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13281|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13281|FAB|Made in USA [may include imported hardware]|9
BKDK|132819|FAB|Replacement 28.5 in. Slipper Leaf Spring|1
BKDK|132819|FAB|26.88 in. Eye-To-Slipper Length|2
BKDK|132819|FAB|1000 lbs. Weight Capacity|3
BKDK|132819|FAB|4 Leaf Count|4
BKDK|132819|FAB|2 in. Wide|5
BKDK|132819|FAB|Please Consult Your Original Equipment Label Before Purchasing|6
BKDK|13282|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13282|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13282|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13282|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13282|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13282|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13282|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13282|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13282|FAB|Made in USA [may include imported hardware]|9
BKDK|13284|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13284|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13284|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13284|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13284|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13284|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13284|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13284|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13284|FAB|Made in USA [may include imported hardware]|9
BKDK|13285|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13285|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13285|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13285|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13285|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13285|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13285|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13285|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13285|FAB|Made in USA [may include imported hardware]|9
BKDK|13287|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13287|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13287|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13287|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13287|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13287|FAB|Strengthened w/Cast; Welded; Seamless Collar|6
BKDK|13287|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13287|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13287|FAB|Made in USA [may include imported hardware]|9
BKDK|13290|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13290|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13290|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13290|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13290|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13290|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13290|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13290|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13290|FAB|Made in USA [may include imported hardware]|9
BKDK|13291|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13291|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13291|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13291|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13291|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13291|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13291|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13291|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13291|FAB|Made in USA [may include imported hardware]|9
BKDK|13292|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13292|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13292|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13292|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13292|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13292|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13292|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13292|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13292|FAB|Made in USA [may include imported hardware]|9
BKDK|13293|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13293|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13293|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13293|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13293|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13293|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13293|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13293|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13293|FAB|Made in USA [may include imported hardware]|9
BKDK|13294|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13294|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13294|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13294|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13294|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13294|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13294|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13294|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13294|FAB|Made in USA [may include imported hardware]|9
BKDK|13295|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13295|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13295|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13295|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13295|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13295|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13295|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13295|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13295|FAB|Made in USA [may include imported hardware]|9
BKDK|13296|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13296|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13296|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13296|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13296|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13296|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13296|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13296|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13296|FAB|Made in USA [may include imported hardware]|9
BKDK|13297|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13297|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13297|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13297|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13297|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13297|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13297|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13297|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13297|FAB|Made in USA [may include imported hardware]|9
BKDK|13300|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13300|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13300|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13300|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13300|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13300|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13300|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13300|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13300|FAB|Made in USA [may include imported hardware]|9
BKDK|13301|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13301|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13301|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13301|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13301|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13301|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13301|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13301|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13301|FAB|Made in USA [may include imported hardware]|9
BKDK|13303|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13303|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13303|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13303|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13303|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13303|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13303|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13303|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13303|FAB|Made in USA [may include imported hardware]|9
BKDK|13304|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13304|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13304|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13304|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13304|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13304|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13304|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13304|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13304|FAB|Made in USA [may include imported hardware]|9
BKDK|13305|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13305|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13305|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13305|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13305|FAB|Co-Cured In A Rust-Resistant Bonderite Coating Inside And Out|5
BKDK|13305|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13305|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13305|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13305|FAB|Made in USA [may include imported hardware]|9
BKDK|13309|FAB|Made With A Vehicle-Specific Design For A Custom Fit|1
BKDK|13309|FAB|Tested For Safety In Accordance With Sea J684|2
BKDK|13309|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|3
BKDK|13309|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|4
BKDK|13309|FAB|Strengthened With A Cast; Welded; Seamless Collar|5
BKDK|13309|FAB|Equipped With An Open-Back Receiver For Easy Cleaning|6
BKDK|13309|FAB|Limited Lifetime Warranty|7
BKDK|13309|FAB|Made in USA [may include imported hardware]|8
BKDK|13310|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13310|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13310|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13310|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13310|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13310|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13310|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13310|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13310|FAB|Made in USA [may include imported hardware]|9
BKDK|13314|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13314|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13314|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13314|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13314|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13314|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13314|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13314|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13314|FAB|Made in USA [may include imported hardware]|9
BKDK|13315|FAB|Made With A Vehicle-Specific Design For A Custom Fit|1
BKDK|13315|FAB|Tested For Safety In Accordance With Sea J684|2
BKDK|13315|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|3
BKDK|13315|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|4
BKDK|13315|FAB|Strengthened With A Cast; Welded; Seamless Collar|5
BKDK|13315|FAB|Equipped With An Open-Back Receiver For Easy Cleaning|6
BKDK|13315|FAB|Backed By A Limited Lifetime Warranty|7
BKDK|13315|FAB|Made in USA [may include imported hardware]|8
BKDK|13316|FAB|Made With A Vehicle-Specific Design For A Custom Fit|1
BKDK|13316|FAB|Tested For Safety In Accordance With Sea J684|2
BKDK|13316|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|3
BKDK|13316|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|4
BKDK|13316|FAB|Strengthened With A Cast; Welded; Seamless Collar|5
BKDK|13316|FAB|Equipped With An Open-Back Receiver For Easy Cleaning|6
BKDK|13316|FAB|Backed By A Limited Lifetime Warranty|7
BKDK|13316|FAB|Made in USA [may include imported hardware]|8
BKDK|13318|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13318|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13318|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13318|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13318|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13318|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13318|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13318|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13318|FAB|Made in USA [may include imported hardware]|9
BKDK|133207|FAB|Standard Shackle Link|1
BKDK|133207|FAB|3.13 in. Width [Center Hole to Center Hole]|2
BKDK|133207|FAB|Zinc Dichromate Finish|3
BKDK|13322|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13322|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13322|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13322|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13322|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13322|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13322|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13322|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13322|FAB|Made in USA [may include imported hardware]|9
BKDK|13323|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13323|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13323|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13323|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13323|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13323|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13323|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13323|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13323|FAB|Made in USA [may include imported hardware]|9
BKDK|13326|FAB|Custom-Made In An OEM Style For Specific Vehicles|1
BKDK|13326|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13326|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13326|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13326|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13326|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13326|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13326|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13326|FAB|Made in USA [may include imported hardware]|9
BKDK|13328|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13328|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13328|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13328|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13328|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13328|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13328|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13328|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13328|FAB|Made in USA [may include imported hardware]|9
BKDK|13329|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13329|FAB|Backed By A Limited Lifetime Warranty|10
BKDK|13329|FAB|Made in USA [may include imported hardware]|11
BKDK|13329|FAB|Provides Convenient Attachment Point For Front Mount Accessories|2
BKDK|13329|FAB|Ideal For Attaching A Cargo Carrier Or Front Hitch Accessories|3
BKDK|13329|FAB|Allows For Easy Maneuvering Of A Trailer Into A Tight Spot|4
BKDK|13329|FAB|Tested For Safety In Accordance w/SAE J684|5
BKDK|13329|FAB|Precisely Welded For Superior Strength And Fit|6
BKDK|13329|FAB|Protected By A Durable Black Powder Coat Finish|7
BKDK|13329|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|8
BKDK|13329|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|9
BKDK|13332|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13332|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13332|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13332|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13332|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13332|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13332|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13332|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13332|FAB|Made in USA [may include imported hardware]|9
BKDK|13333|FAB|Custom-Made In An OEM Style For Specific Vehicles|1
BKDK|13333|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13333|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13333|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13333|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13333|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13333|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|13333|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|13333|FAB|Made in USA [may include imported hardware]|9
BKDK|13334|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13334|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13334|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13334|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|13334|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|13334|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|13334|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|13334|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|13334|FAB|Made in USA [may include imported hardware]|9
BKDK|13336|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|13336|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|13336|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|13336|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|13336|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|13336|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|13336|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
