BrandAAIAID|PartNumber|DescriptionCode|Description|Sequence
BKDK|11025|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|11025|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|11025|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|11025|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|11025|FAB|Made in USA [may include imported hardware]|9
BKDK|110253|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|110253|FAB|Backed By A Limited Lifetime Warranty|10
BKDK|110253|FAB|Made in USA [may include imported hardware]|11
BKDK|110253|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|110253|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|110253|FAB|Constructed w/A Sleek Round-Tube Main Body|4
BKDK|110253|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|5
BKDK|110253|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|6
BKDK|110253|FAB|Strengthened w/A Cast Welded Seamless Collar|7
BKDK|110253|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|8
BKDK|110253|FAB|Old-Style Ball Mount Can Be Flipped To Provide Drop Or Rise|9
BKDK|11028|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|11028|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|11028|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|11028|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|11028|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|11028|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|11028|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|11028|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|11028|FAB|Made in USA [may include imported hardware]|9
BKDK|110283|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|110283|FAB|Made in USA [may include imported hardware]|10
BKDK|110283|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|110283|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|110283|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|110283|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|110283|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|110283|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|110283|FAB|1 1/4 In. X 1 1/4 In. Ball Mount Features A 3/4 In. Hole|8
BKDK|110283|FAB|Backed By A Limited Lifetime Warranty|9
BKDK|11030|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|11030|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|11030|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|11030|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|11030|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|11030|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|11030|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|11030|FAB|Backed By A Limited Lifetime Warranty|8
BKDK|11030|FAB|Made in USA [may include imported hardware]|9
BKDK|110303|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|110303|FAB|Made in USA [may include imported hardware]|10
BKDK|110303|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|110303|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|110303|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|110303|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|110303|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|110303|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
